ID	m/z	1790_NEG_D4	1789_NEG_D4	1788_NEG_D4	1787_NEG_C1	1786_NEG_C1	1785_NEG_C2	1784_NEG_D4	1783_NEG_D4	1782_NEG_D4	1781_NEG_C2	1780_NEG_unknown	1779_NEG_C2	1778_NEG_C2	1777_NEG_D4	1776_NEG_D4	1775_NEG_C1	1774_NEG_C2	1773_NEG_C2	1772_NEG_D4	1771_NEG_D4	1770_NEG_C1	1769_NEG_C2	1768_NEG_C2	1767_NEG_C1	1765_NEG_D3	1764_NEG_D4	1763_NEG_D4	1762_NEG_D4	1760_NEG_D4	1759_NEG_D4	1758_NEG_D4	1757_NEG_D4	1756_NEG_C1	1755_NEG_D4	1754_NEG_D3	1753_NEG_C1	1752_NEG_C1	1751_NEG_D3	1750_NEG_D4	1749_NEG_D4	1748_NEG_D4	1747_NEG_D4	1746_NEG_C1	1745_NEG_D4	1744_NEG_D4	1743_NEG_D4	1742_NEG_C1	1741_NEG_D4	1740_NEG_C2	1739_NEG_D4	1738_NEG_C1
7	148.04038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3519254.5	0	4814555.3	0	3776771.4	0	0	4217316.3	0	0	0	0	0	0	0	0	3554932.1	6115725.5	0	0	0	0	0	6947207	0	0	0	0	0	0	0	0	0	0	0	0	0
15	149.0455292	537089630	326578410	277994440	160512580	209305350	278924690	69003335	232594400	370296290	162973170	266229050	170805370	137072130	253885720	425206160	187338370	243572440	195520270	303456300	248346870	165178400	137298700	227478120	217304110	297509910	388537890	259862510	155191990	165585220	409224990	348124700	197769360	117262740	137443140	254337590	123622850	248054750	151521970	273602620	238520370	272191970	239389750	165567650	176419470	108235420	162778500	158753880	104856330	170050120	82238751	215372540
17	149.0607888	0	0	0	0	0	0	0	0	0	4591809.8	0	0	0	5887384.8	3541533.6	0	0	0	7187955.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4688173.4	0	14033499	0	0	0	0	0	0	0	0	0	3735003.6	0	4556004
22	150.0560287	158473850	15438021	11414117	4759165.6	6831497.4	17142731	157345800	7057358.6	5719431.2	0	7282167.3	0	6436150.9	6650781.1	8545045.4	0	20656706	12858633	16630681	42541595	5558887.4	16598820	6778043.8	5617092.4	57724220	106407680	4603358.1	0	82896290	148643240	10231834	6805366.2	12461188	21205791	61228859	4708679.7	11027843	168411350	10373222	7649654.6	7114267.5	19175276	48929028	93076616	70219898	48146615	0	17485681	8950454.1	69175125	7053869
26	151.0070212	16498332	29677643	20887768	12261111	15759825	26300030	11572503	7091099.7	19007826	20013614	67541392	32325697	11103535	18687532	21359143	14293731	13387387	17231270	36768596	13898016	35766393	39567317	16947332	11921056	19745348	34437270	19162140	22590563	0	27254749	13568333	66113745	9151851.7	17591823	16612252	13257022	21803727	11961674	15661569	13859997	38785211	5588693.4	28643166	0	6871646.1	14253195	18392982	6360342.1	15537112	9823753.8	22674973
27	151.0261177	0	9320976.9	7824612.3	11565307	15487905	0	15100837	0	8464883.7	0	0	5573031.5	0	25572427	9069520.3	9959985.2	7196265	0	13415239	0	18880276	9108080.3	6112615.9	12454650	0	16164995	8153765	18008774	0	7459210.4	6591298.8	13362226	9109445.4	0	0	13598562	11270104	0	0	6921471.5	5957898.2	0	8792286.4	0	4927396.8	0	0	18812345	0	0	6024792.8
28	151.0400427	48815497	93307177	59027056	40236472	55918473	69314998	24636877	26019629	48577804	57337146	68505826	66793589	68481200	61628564	65785602	23869421	49357390	46457194	87526737	29322045	29388483	39354942	67088861	57302988	24341697	87952854	62005376	99924423	53675308	51005735	44017445	42335039	40665244	38928461	37497364	42784037	57406166	28908810	58659262	45555927	51498293	32695579	18804209	23822738	14334913	26767863	64761182	32720732	57927204	40342792	41646147
29	151.0512759	0	6926195.5	6829166.4	4121573.5	8642223.6	4312106.2	4288780.6	0	19522253	0	4052512.5	0	0	11369153	11115627	4023140.6	7732529.8	0	9875702.2	14748759	6207692.5	3483825.6	0	3387812.3	0	9503081.1	5244715.6	0	0	0	9814908.9	0	0	12674711	0	0	6691011.3	0	10558110	7503790.5	0	4898876.3	0	0	5368302.5	0	0	6647867.9	7537554.2	0	6904785.5
31	151.061184	0	32840259	10829323	0	0	0	0	4656209.4	15715876	9940954.7	34858586	11494247	6515904.5	0	0	10382443	14072526	12614288	0	0	0	26005321	22364648	7866237.4	0	17101809	13726497	0	15548777	13476956	0	18170756	6424660	25629505	0	0	0	11461745	19333133	0	16561467	0	0	24513098	6352451.8	0	15321111	6532736.2	15728315	8731834.5	0
34	152.0352964	11881644	9623167.2	19812120	4227716.2	3777467.9	0	0	10373770	6465403.6	4256748.5	5488480.3	0	0	5790141.7	21533618	3627044.4	13758979	0	0	8012286.9	0	5149288.5	0	7367594.8	0	4342908.5	10345032	0	0	0	19696770	7970454	5896170.3	11068571	20335823	0	6908500.5	15733550	29353777	13024113	5577743.8	13788614	0	0	7213037.4	0	15362924	4357689.3	0	0	3866280.5
