ID	RT	Mass	R7S1	R7S2	R7S3	R7S4	R7S5	R7S6	R7S7	R7S8	R7S9	R7S10	R7S11	R7S12	R7S13	R7S14	R7S15	R8S1	R8S2	R8S3	R8S4	R8S5	R8S6	R8S7	R8S8	R8S9	R8S10	R8S11	R8S12	R8S13	R8S14	R8S15	R9S1	R9S2	R9S3	R9S4	R9S5	R9S6	R9S7	R9S8	R9S9	R9S10	R9S11	R9S12	R9S13	R9S14	R9S15
1	1,4737	57,0003	1,0974	0,5979	1,0357	0,41965	1,1262	0,49605	1,114	1,08515	0,6241	0,569	0,97215	1,07985	0,78795	1,1415	0,6783	1,2556	0	0,99225	0,93075	1,2253	1,0211	1,21545	0,3478	0,4199	0,5424	1,0836	1,15725	1,08535	0,70715	0,78145	1,29785	0,9794	1,33225	0,557	0,51895	0,4852	1,1861	0,9047	1,05265	1,0202	0,5345	0,55235	0,81975	1,17765	0,5271
2	2,2386	57,001	0,37785	0,5362	0	0,30345	0,33375	0,28435	0,32895	0,37695	0,31595	0,2488	0,26575	0,40475	0,36045	0	0,25235	0,3319	0	0,30105	0,3169	0,3859	0,2649	0	0,3741	0,47885	0,33975	0,29175	0,42145	0,24595	0,31055	0,21315	0,28615	0	0,37045	0,3373	0,293	0,26275	0,281	0,3014	0,4147	0,2733	0,6484	0,3128	0,27695	0,28625	0,18705
3	1,8677	57,0365	0	0	0	0	3,1396	0	0,1235	0	0	0	0	0	2,8228	0	0	0	0	0,62575	0	3,36405	0	0	0	0,12435	0	0	4,35285	0	0	0	0	2,0354	0	0	2,895	0	0	0,3594	3,26165	0	0	0	0	0	0
4	1,0695	57,0365	0	0	0,5297	0	0	0,71075	0	0	0	0,5485	1,4612	0,4193	0	0,6222	0	0,56055	0	0,8382	0	0	0	0,6004	0	0	0	0	1,16215	0,5136	0	0	0	1,2975	0	0,7613	0	0,55545	0,70295	0	0	0	0,51575	1,08415	0	0	0
5	1,5356	57,0367	2,06775	2,9438	2,5022	1,716	2,64415	2,2703	2,1621	3,0284	2,4179	2,20085	2,0641	2,2186	2,47235	4,2871	2,3515	2,56065	0	2,60725	2,20345	1,3359	2,6993	2,85745	3,8403	2,03155	1,98575	2,08595	0,83835	2,09935	4,34085	2,1747	1,5947	2,5995	2,7721	2,3742	2,27615	2,16525	2,64225	1,73105	2,86005	2,8465	2,2282	2,4724	1,3584	2,526	2,61245
6	1,2613	57,0368	3,0263	3,53005	2,48035	2,666	2,43305	3,42815	2,44305	2,81105	3,3869	2,48595	2,11625	3,3948	2,60125	2,7872	2,6142	2,32525	3,4705	3,0784	2,55475	2,49285	3,2386	2,61575	2,95125	2,17875	2,44695	3,0382	1,9999	2,75105	2,9804	2,59835	2,71775	2,94	2,61615	3,09975	2,75685	3,58335	2,6585	2,25065	3,37805	2,7881	2,67615	3,02925	3,19275	2,9314	2,8094
7	3,6847	59,0157	4,72725	4,6453	2,54645	4,7197	4,5079	4,65545	4,6659	4,68595	4,53335	1,87345	0	4,72955	1,77725	4,7282	2,18975	2,46925	0	2,34375	4,27325	2,1245	2,82845	2,00605	4,8128	3,0186	4,68565	2,05455	0	4,8453	2,52265	4,38475	4,7487	0	2,6684	2,45105	2,4358	4,7519	4,97975	4,59235	5,22025	4,5946	5,2434	4,8064	4,64275	2,72745	4,2749
8	4,308	59,0157	4,0286	3,4905	1,81315	3,69515	3,4222	3,4015	4,01385	3,74735	4,1279	1,5325	1,2151	4,3533	1,4105	4,04565	1,6338	1,7413	0	1,6075	3,7082	1,61875	1,6187	1,69605	4,2586	2,3555	3,91775	1,75935	1,0201	4,2255	1,9948	3,7664	4,26545	0	1,65825	1,82205	1,4909	3,8971	4,43265	3,50985	4,1554	4,37325	4,1821	3,6979	3,9163	1,9749	3,8781
9	2,115	59,0158	0	0	2,4674	0	0	0	0	0	0	2,4774	2,6298	0	3,77965	0	2,2809	2,85465	0	2,4211	2,52975	3,55955	2,19355	2,1619	0	0	0	2,5579	3,82755	0	2,58245	0	0	6,0369	2,886	2,30385	3,095	0	0	0	0	0	0	0	0	2,42695	0
10	2,0462	59,0158	4,29955	4,077	1,6685	4,03175	4,79085	4,1025	5,1235	4,20585	4,37495	1,7015	4,6907	3,8169	2,48565	4,15435	3,8923	1,54275	0	1,89625	4,5006	2,10765	3,9451	3,74655	4,8551	2,4575	4,28975	4,291	6,3665	5,2507	4,3854	3,80635	3,62175	0	2,18065	1,70055	4,96235	3,91085	5,0153	3,9372	5,1535	5,03185	3,30535	4,22905	4,4266	1,9645	3,8466
